version	book_name	chapter_number	verse_number	versetext	book_id
ASV	1 Corinthians	1	1	Paul, called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,	46
ASV	1 Corinthians	1	10	Now I beseech you, brethren, through the name of our Lord Jesus Christ, that ye all speak the same thing and that there be no divisions among you; but `that ye be perfected together in the same mind and in the same judgment.	46
ASV	1 Corinthians	1	11	For it hath been signified unto me concerning you, my brethren, by them that are of the household of Chloe, that there are contentions among you.	46
ASV	1 Corinthians	1	12	Now this I mean, that each one of you saith, I am of Paul; and I of Apollos: and I of Cephas; and I of Christ.	46
ASV	1 Corinthians	1	13	Is Christ divided? was Paul crucified for you? or were ye baptized into the name of Paul?	46
ASV	1 Corinthians	1	14	I thank God that I baptized none of you, save Crispus and Gaius;	46
ASV	1 Corinthians	1	15	Lest any man should say that ye were baptized into my name.	46
ASV	1 Corinthians	1	16	And I baptized also the household of Stephanas: besides, I know not whether I baptized any other.	46
ASV	1 Corinthians	1	17	For Christ sent me not to baptize, but to preach the gospel: not in wisdom of words, lest the cross of Christ should be made void.	46
ASV	1 Corinthians	1	18	For the word of the cross is to them that perish foolishness; but unto us who are saved it is the power of God.	46
ASV	1 Corinthians	1	19	For it is written, I will destroy the wisdom of the wise, And the discernment of the discerning will I bring to nought.	46
ASV	1 Corinthians	1	2	Unto the church of God which is at Corinth, even them that are sanctified in Christ Jesus, called `to be saints, with all that call upon the name of our Lord Jesus Christ in every place, their `Lord and ours:	46
ASV	1 Corinthians	1	20	Where is the wise? where is the scribe? where is the disputer of this world? hath not God made foolish the wisdom of the world?	46
ASV	1 Corinthians	1	21	For seeing that in the wisdom of God the world through its wisdom knew not God, it was God&rsquo;s good pleasure through the foolishness of the preaching to save them that believe.	46
ASV	1 Corinthians	1	22	Seeing that Jews ask for signs, and Greeks seek after wisdom:	46
ASV	1 Corinthians	1	23	But we preach Christ crucified, unto Jews a stumblingblock, and unto Gentiles foolishness;	46
ASV	1 Corinthians	1	24	But unto them that are called, both Jews and Greeks, Christ the power of God, and the wisdom of God.	46
ASV	1 Corinthians	1	25	Because the foolishness of God is wiser than men; and the weakness of God is stronger than men.	46
ASV	1 Corinthians	1	26	For behold your calling, brethren, that not many wise after the flesh, not many mighty, not many noble, are called&rsquo;:	46
ASV	1 Corinthians	1	27	But God chose the foolish things of the world, that he might put to shame them that are wise; and God chose the weak things of the world, that he might put to shame the things that are strong;	46
ASV	1 Corinthians	1	28	And the base things of the world, and the things that are despised, did God choose, yea and the things that are not, that he might bring to nought the things that are:	46
ASV	1 Corinthians	1	29	That no flesh should glory before God.	46
ASV	1 Corinthians	1	3	Grace to you and peace from God our Father and the Lord Jesus Christ.	46
ASV	1 Corinthians	1	30	But of him are ye in Christ Jesus, who was made unto us wisdom from God, and righteousness and sanctification, and redemption:	46
ASV	1 Corinthians	1	31	That, according as it is written, He that glorieth, let him glory in the Lord.	46
ASV	1 Corinthians	1	4	I thank my God always concerning you, for the grace of God which was given you in Christ Jesus;	46
ASV	1 Corinthians	1	5	That in everything ye were enriched in him, in all utterance and all knowledge;	46
ASV	1 Corinthians	1	6	Even as the testimony of Christ was confirmed in you:	46
ASV	1 Corinthians	1	7	So that ye come behind in no gift; waiting for the revelation of our Lord Jesus Christ;	46
ASV	1 Corinthians	1	8	Who shall also confirm you unto the end, that ye be unreproveable in the day of our Lord Jesus Christ.	46
ASV	1 Corinthians	1	9	God is faithful, through whom ye were called into the fellowship of his Son Jesus Christ our Lord.	46
ASV	1 Corinthians	10	1	For I would not, brethren, have you ignorant, that our fathers were all under the cloud, and all passed through the sea;	46
ASV	1 Corinthians	10	10	Neither murmur ye, as some of them murmured, and perished by the destroyer.	46
ASV	1 Corinthians	10	11	Now these things happened unto them by way of example; and they were written for our admonition, upon whom the ends of the ages are come.	46
ASV	1 Corinthians	10	12	Wherefore let him that thinketh he standeth take heed lest he fall.	46
ASV	1 Corinthians	10	13	There hath no temptation taken you but such as man can bear: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation make also the way of escape, that ye may be able to endure it.	46
ASV	1 Corinthians	10	14	Wherefore, my beloved, flee from idolatry.	46
ASV	1 Corinthians	10	15	I speak as to wise men; judge ye what I say.	46
ASV	1 Corinthians	10	16	The cup of blessing which we bless, is it not a communion of the blood of Christ? The bread which we break, is it not a communion of the body of Christ?	46
ASV	1 Corinthians	10	17	Seeing that we, who are many, are one bread, one body: for we are all partake of the one bread.	46
ASV	1 Corinthians	10	18	Behold Israel after the flesh: have not they that eat the sacrifices communion with the altar?	46
ASV	1 Corinthians	10	19	What say I then? that a thing sacrificed to idols is anything, or that an idol is anything?	46
ASV	1 Corinthians	10	2	And were all baptized unto Moses in the cloud and in the sea;	46
ASV	1 Corinthians	10	20	But I say, that the things which the Gentiles sacrifice, they sacrifice to demons, and not to God: and I would not that ye should have communion with demons.	46
ASV	1 Corinthians	10	21	Ye cannot drink the cup of the Lord, and the cup of demons: ye cannot partake of the table of the Lord, and of the table of demons.	46
ASV	1 Corinthians	10	22	Or do we provoke the Lord to jealousy? are we stronger than he?	46
ASV	1 Corinthians	10	23	All things are lawful; but not all things are expedient. All things are lawful; but not all things edify.	46
ASV	1 Corinthians	10	24	Let no man seek his own, but each his neighbor&rsquo;s `good&rsquo;.	46
ASV	1 Corinthians	10	25	Whatsoever is sold in the shambles, eat, asking no question for conscience sake,	46
ASV	1 Corinthians	10	26	For the earth is the Lord&rsquo;s, and the fulness thereof.	46
ASV	1 Corinthians	10	27	If one of them that believe not biddeth you to a feast, and ye are disposed to go; whatsoever is set before you, eat, asking no question for conscience sake.	46
ASV	1 Corinthians	10	28	But if any man say unto you, This hath been offered in sacrifice, eat not, for his sake that showed it, and for conscience sake:	46
ASV	1 Corinthians	10	29	Conscience, I say, not thine own, but the other&rsquo;s; for why is my liberty judged by another conscience?	46
ASV	1 Corinthians	10	3	And did all eat the same spiritual food;	46
ASV	1 Corinthians	10	30	If I partake with thankfulness, why am I evil spoken of for that for which I give thanks?	46
ASV	1 Corinthians	10	31	Whether therefore ye eat, or drink, or whatsoever ye do, do all to the glory of God.	46
ASV	1 Corinthians	10	32	Give no occasions of stumbling, either to Jews, or to Greeks, or to the church of God:	46
ASV	1 Corinthians	10	33	Even as I also please all men in all things, not seeking mine own profit, but the profit of the many, that they may be saved.	46
ASV	1 Corinthians	10	4	And did all drink the same spiritual drink: for they drank of a spiritual rock that followed them: and the rock was Christ.	46
ASV	1 Corinthians	10	5	Howbeit with most of them God was not well pleased: for they were overthrown in the wilderness.	46
ASV	1 Corinthians	10	6	Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.	46
ASV	1 Corinthians	10	7	Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play.	46
ASV	1 Corinthians	10	8	Neither let us commit fornication, as some of them committed, and fell in one day three and twenty thousand.	46
ASV	1 Corinthians	10	9	Neither let us make trial of the Lord, as some of them made trial, and perished by the serpents.	46
ASV	1 Corinthians	11	1	Be ye imitators of me, even as I also am of Christ.	46
ASV	1 Corinthians	11	10	For this cause ought the woman to have a sign of authority on her head, because of the angels.	46
ASV	1 Corinthians	11	11	Nevertheless, neither is the woman without the man, nor the man without the woman, in the Lord.	46
ASV	1 Corinthians	11	12	For as the woman is of the man, so is the man also by the woman; but all things are of God.	46
ASV	1 Corinthians	11	13	Judge ye in yourselves: is it seemly that a woman pray unto God unveiled?	46
ASV	1 Corinthians	11	14	Doth not even nature itself teach you, that, if a man have long hair, it is a dishonor to him?	46
ASV	1 Corinthians	11	15	But if a woman have long hair, it is a glory to her: for her hair is given her for a covering.	46
ASV	1 Corinthians	11	16	But if any man seemeth to be contentious, we have no such custom, neither the churches of God.	46
ASV	1 Corinthians	11	17	But in giving you this charge, I praise you not, that ye come together not for the better but for the worse.	46
ASV	1 Corinthians	11	18	For first of all, when ye come together in the church, I hear that divisions exist among you; and I partly believe it.	46
ASV	1 Corinthians	11	19	For there must be also factions among you, that they that are approved may be made manifest among you.	46
ASV	1 Corinthians	11	2	Now I praise you that ye remember me in all things, and hold fast the traditions, even as I delivered them to you.	46
ASV	1 Corinthians	11	20	When therefore ye assemble yourselves together, it is not possible to eat the Lord&rsquo;s supper:	46
ASV	1 Corinthians	11	21	For in your eating each one taketh before other his own supper; and one is hungry, and another is drunken.	46
ASV	1 Corinthians	11	22	What, have ye not houses to eat and to drink in? or despise ye the church of God, and put them to shame that have not? What shall I say to you? shall I praise you? In this I praise you not.	46
ASV	1 Corinthians	11	23	For I received of the Lord that which also I delivered unto you, that the Lord Jesus in the night in which he was betrayed took bread;	46
ASV	1 Corinthians	11	24	And when he had given thanks, he brake it, and said, This is my body, which is for you: this do in remembrance of me.	46
ASV	1 Corinthians	11	25	In like manner also the cup, after supper, saying, This cup is the new covenant in my blood: this do, as often as ye drink it, in remembrance of me.	46
ASV	1 Corinthians	11	26	For as often as ye eat this bread, and drink the cup, ye proclaim the Lord&rsquo;s death till he come.	46
ASV	1 Corinthians	11	27	Wherefore whosoever shall eat the bread or drink the cup of the Lord in an unworthy manner, shall be guilty of the body and the blood of the Lord.	46
ASV	1 Corinthians	11	28	But let a man prove himself, and so let him eat of the bread, and drink of the cup.	46
ASV	1 Corinthians	11	29	For he that eateth and drinketh, eateth and drinketh judgment unto himself, if he discern not the body.	46
ASV	1 Corinthians	11	3	But I would have you know, that the head of every man is Christ; and the head of the woman is the man; and the head of Christ is God.	46
ASV	1 Corinthians	11	30	For this cause many among you are weak and sickly, and not a few sleep.	46
ASV	1 Corinthians	11	31	But if we discerned ourselves, we should not be judged.	46
ASV	1 Corinthians	11	32	But when we are judged, we are chastened of the Lord, that we may not be condemned with the world.	46
ASV	1 Corinthians	11	33	Wherefore, my brethren, when ye come together to eat, wait one for another.	46
ASV	1 Corinthians	11	34	If any man is hungry, let him eat at home; that your coming together be not unto judgment. And the rest will I set in order whensoever I come.	46
ASV	1 Corinthians	11	4	Every man praying or prophesying, having his head covered, dishonoreth his head.	46
ASV	1 Corinthians	11	5	But every woman praying or prophesying with her head unveiled dishonoreth her head; for it is one and the same thing as if she were shaven.	46
ASV	1 Corinthians	11	6	For if a woman is not veiled, let her also be shorn: but if it is a shame to a woman to be shorn or shaven, let her be veiled.	46
ASV	1 Corinthians	11	7	For a man indeed ought not to have his head veiled, forasmuch as he is the image and glory of God: but the woman is the glory of the man.	46
ASV	1 Corinthians	11	8	For the man is not of the woman; but the woman of the man:	46
ASV	1 Corinthians	11	9	For neither was the man created for the woman; but the woman for the man:	46
ASV	1 Corinthians	12	1	Now concerning spiritual gifts, brethren, I would not have you ignorant.	46
ASV	1 Corinthians	12	10	And to another workings of miracles; and to another prophecy; and to another discernings of spirits; to another divers kinds of tongues; and to another the interpretation of tongues:	46
ASV	1 Corinthians	12	11	But all these worketh the one and the same Spirit, dividing to each one severally even as he will.	46
ASV	1 Corinthians	12	12	For as the body is one, and hath many members, and all the members of the body, being many, are one body; so also is Christ.	46
ASV	1 Corinthians	12	13	For in one Spirit were we all baptized into one body, whether Jews or Greeks, whether bond or free; and were all made to drink of one Spirit.	46
ASV	1 Corinthians	12	14	For the body is not one member, but many.	46
ASV	1 Corinthians	12	15	If the foot shall say, Because I am not the hand, I am not of the body; it is not therefore not of the body.	46
ASV	1 Corinthians	12	16	And if the ear shall say, Because I am not the eye, I am not of the body; it is not therefore not of the body.	46
ASV	1 Corinthians	12	17	If the whole body were an eye, where were the hearing? If the whole were hearing, where were the smelling?	46
ASV	1 Corinthians	12	18	But now hath God set the members each one of them in the body, even as it pleased him.	46
ASV	1 Corinthians	12	19	And if they were all one member, where were the body?	46
