version	book_name	chapter_number	verse_number	versetext	book_id
NASB	1 Corinthians	1	1	Paul, called as an apostle of Jesus Christ by the will of God, and Sosthenes our brother,	46
NASB	1 Corinthians	1	10	Now I exhort you, brethren, by the name of our Lord Jesus Christ, that you all agree and that there be no divisions among you, but that you be made complete in the same mind and in the same judgment.	46
NASB	1 Corinthians	1	11	For I have been informed concerning you, my brethren, by Chloe&rsquo;s people, that there are quarrels among you.	46
NASB	1 Corinthians	1	12	Now I mean this, that each one of you is saying, &ldquo;I am of Paul,&rdquo; and &ldquo;I of Apollos,&rdquo; and &ldquo;I of Cephas,&rdquo; and &ldquo;I of Christ.&rdquo;	46
NASB	1 Corinthians	1	13	Has Christ been divided? Paul was not crucified for you, was he? Or were you baptized in the name of Paul?	46
NASB	1 Corinthians	1	14	I thank God that I baptized none of you except Crispus and Gaius,	46
NASB	1 Corinthians	1	15	So that no one would say you were baptized in my name.	46
NASB	1 Corinthians	1	16	Now I did baptize also the household of Stephanas; beyond that, I do not know whether I baptized any other.	46
NASB	1 Corinthians	1	17	For Christ did not send me to baptize, but to preach the gospel, not in cleverness of speech, so that the cross of Christ would not be made void.	46
NASB	1 Corinthians	1	18	For the word of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.	46
NASB	1 Corinthians	1	19	For it is written, &ldquo;I WILL DESTROY THE WISDOM OF THE WISE, AND THE CLEVERNESS OF THE CLEVER I WILL SET ASIDE.&rdquo;	46
NASB	1 Corinthians	1	2	To the church of God which is at Corinth, to those who have been sanctified in Christ Jesus, saints by calling, with all who in every place call on the name of our Lord Jesus Christ, their Lord and ours:	46
NASB	1 Corinthians	1	20	Where is the wise man? Where is the scribe? Where is the debater of this age? Has not God made foolish the wisdom of the world?	46
NASB	1 Corinthians	1	21	For since in the wisdom of God the world through its wisdom did not come to know God, God was well-pleased through the foolishness of the message preached to save those who believe.	46
NASB	1 Corinthians	1	22	For indeed Jews ask for signs and Greeks search for wisdom;	46
NASB	1 Corinthians	1	23	But we preach Christ crucified, to Jews a stumbling block and to Gentiles foolishness,	46
NASB	1 Corinthians	1	24	But to those who are the called, both Jews and Greeks, Christ the power of God and the wisdom of God.	46
NASB	1 Corinthians	1	25	Because the foolishness of God is wiser than men, and the weakness of God is stronger than men.	46
NASB	1 Corinthians	1	26	For consider your calling, brethren, that there were not many wise according to the flesh, not many mighty, not many noble;	46
NASB	1 Corinthians	1	27	But God has chosen the foolish things of the world to shame the wise, and God has chosen the weak things of the world to shame the things which are strong,	46
NASB	1 Corinthians	1	28	And the base things of the world and the despised God has chosen, the things that are not, so that He may nullify the things that are,	46
NASB	1 Corinthians	1	29	So that no man may boast before God.	46
NASB	1 Corinthians	1	3	Grace to you and peace from God our Father and the Lord Jesus Christ.	46
NASB	1 Corinthians	1	30	But by His doing you are in Christ Jesus, who became to us wisdom from God, and righteousness and sanctification, and redemption,	46
NASB	1 Corinthians	1	31	So that, just as it is written, &ldquo;LET HIM WHO BOASTS, BOAST IN THE LORD.&rdquo;	46
NASB	1 Corinthians	1	4	I thank my God always concerning you for the grace of God which was given you in Christ Jesus,	46
NASB	1 Corinthians	1	5	That in everything you were enriched in Him, in all speech and all knowledge,	46
NASB	1 Corinthians	1	6	Even as the testimony concerning Christ was confirmed in you,	46
NASB	1 Corinthians	1	7	So that you are not lacking in any gift, awaiting eagerly the revelation of our Lord Jesus Christ,	46
NASB	1 Corinthians	1	8	Who will also confirm you to the end, blameless in the day of our Lord Jesus Christ.	46
NASB	1 Corinthians	1	9	God is faithful, through whom you were called into fellowship with His Son, Jesus Christ our Lord.	46
NASB	1 Corinthians	10	1	For I do not want you to be unaware, brethren, that our fathers were all under the cloud and all passed through the sea;	46
NASB	1 Corinthians	10	10	Nor grumble, as some of them did, and were destroyed by the destroyer.	46
NASB	1 Corinthians	10	11	Now these things happened to them as an example, and they were written for our instruction, upon whom the ends of the ages have come.	46
NASB	1 Corinthians	10	12	Therefore let him who thinks he stands take heed that he does not fall.	46
NASB	1 Corinthians	10	13	No temptation has overtaken you but such as is common to man; and God is faithful, who will not allow you to be tempted beyond what you are able, but with the temptation will provide the way of escape also, so that you will be able to endure it.	46
NASB	1 Corinthians	10	14	Therefore, my beloved, flee from idolatry.	46
NASB	1 Corinthians	10	15	I speak as to wise men; you judge what I say.	46
NASB	1 Corinthians	10	16	Is not the cup of blessing which we bless a sharing in the blood of Christ? Is not the bread which we break a sharing in the body of Christ?	46
NASB	1 Corinthians	10	17	Since there is one bread, we who are many are one body; for we all partake of the one bread.	46
NASB	1 Corinthians	10	18	Look at the nation Israel; are not those who eat the sacrifices sharers in the altar?	46
NASB	1 Corinthians	10	19	What do I mean then? That a thing sacrificed to idols is anything, or that an idol is anything?	46
NASB	1 Corinthians	10	2	And all were baptized into Moses in the cloud and in the sea;	46
NASB	1 Corinthians	10	20	No, but I say that the things which the Gentiles sacrifice, they sacrifice to demons and not to God; and I do not want you to become sharers in demons.	46
NASB	1 Corinthians	10	21	You cannot drink the cup of the Lord and the cup of demons; you cannot partake of the table of the Lord and the table of demons.	46
NASB	1 Corinthians	10	22	Or do we provoke the Lord to jealousy? We are not stronger than He, are we?	46
NASB	1 Corinthians	10	23	All things are lawful, but not all things are profitable. All things are lawful, but not all things edify.	46
NASB	1 Corinthians	10	24	Let no one seek his own good, but that of his neighbor.	46
NASB	1 Corinthians	10	25	Eat anything that is sold in the meat market without asking questions for conscience&rsquo; sake;	46
