version	book_name	chapter_number	verse_number	versetext	book_id
NKJV	1 Corinthians	1	1	Paul, called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,	46
NKJV	1 Corinthians	1	10	Now I plead with you, brethren, by the name of our Lord Jesus Christ, that you all speak the same thing, and that there be no divisions among you, but that you be perfectly joined together in the same mind and in the same judgment.	46
NKJV	1 Corinthians	1	11	For it has been declared to me concerning you, my brethren, by those of Chloe&rsquo;s household, that there are contentions among you.	46
NKJV	1 Corinthians	1	12	Now I say this, that each of you says, &ldquo;I am of Paul,&rdquo; or &ldquo;I am of Apollos,&rdquo; or &ldquo;I am of Cephas,&rdquo; or &ldquo;I am of Christ.&rdquo;	46
NKJV	1 Corinthians	1	13	Is Christ divided? Was Paul crucified for you? Or were you baptized in the name of Paul?	46
NKJV	1 Corinthians	1	14	I thank God that I baptized none of you except Crispus and Gaius,	46
NKJV	1 Corinthians	1	15	Lest anyone should say that I had baptized in my own name.	46
NKJV	1 Corinthians	1	16	Yes, I also baptized the household of Stephanas. Besides, I do not know whether I baptized any other.	46
NKJV	1 Corinthians	1	17	For Christ did not send me to baptize, but to preach the gospel, not with wisdom of words, lest the cross of Christ should be made of no effect.	46
NKJV	1 Corinthians	1	18	For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God.	46
NKJV	1 Corinthians	1	19	For it is written: &ldquo;I will destroy the wisdom of the wise, And bring to nothing the understanding of the prudent.&rdquo;	46
NKJV	1 Corinthians	1	2	To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:	46
NKJV	1 Corinthians	1	20	Where is the wise? Where is the scribe? Where is the disputer of this age? Has not God made foolish the wisdom of this world?	46
NKJV	1 Corinthians	1	21	For since, in the wisdom of God, the world through wisdom did not know God, it pleased God through the foolishness of the message preached to save those who believe.	46
NKJV	1 Corinthians	1	22	For Jews request a sign, and Greeks seek after wisdom;	46
NKJV	1 Corinthians	1	23	But we preach Christ crucified, to the Jews a stumbling block and to the Greeks foolishness,	46
NKJV	1 Corinthians	1	24	But to those who are called, both Jews and Greeks, Christ the power of God and the wisdom of God.	46
NKJV	1 Corinthians	1	25	Because the foolishness of God is wiser than men, and the weakness of God is stronger than men.	46
NKJV	1 Corinthians	1	26	For you see your calling, brethren, that not many wise according to the flesh, not many mighty, not many noble, are called.	46
NKJV	1 Corinthians	1	27	But God has chosen the foolish things of the world to put to shame the wise, and God has chosen the weak things of the world to put to shame the things which are mighty;	46
NKJV	1 Corinthians	1	28	And the base things of the world and the things which are despised God has chosen, and the things which are not, to bring to nothing the things that are,	46
NKJV	1 Corinthians	1	29	That no flesh should glory in His presence.	46
NKJV	1 Corinthians	1	3	Grace to you and peace from God our Father and the Lord Jesus Christ.	46
NKJV	1 Corinthians	1	30	But of Him you are in Christ Jesus, who became for us wisdom from God&mdash;and righteousness and sanctification and redemption&mdash;	46
NKJV	1 Corinthians	1	31	That, as it is written, &ldquo;He who glories, let him glory in the LORD.&rdquo;	46
NKJV	1 Corinthians	1	4	I thank my God always concerning you for the grace of God which was given to you by Christ Jesus,	46
NKJV	1 Corinthians	1	5	That you were enriched in everything by Him in all utterance and all knowledge,	46
NKJV	1 Corinthians	1	6	Even as the testimony of Christ was confirmed in you,	46
NKJV	1 Corinthians	1	7	So that you come short in no gift, eagerly waiting for the revelation of our Lord Jesus Christ,	46
NKJV	1 Corinthians	1	8	Who will also confirm you to the end, that you may be blameless in the day of our Lord Jesus Christ.	46
NKJV	1 Corinthians	1	9	God is faithful, by whom you were called into the fellowship of His Son, Jesus Christ our Lord.	46
NKJV	1 Corinthians	10	1	Moreover, brethren, I do not want you to be unaware that all our fathers were under the cloud, all passed through the sea,	46
NKJV	1 Corinthians	10	10	Nor complain, as some of them also complained, and were destroyed by the destroyer.	46
NKJV	1 Corinthians	10	11	Now all these things happened to them as examples, and they were written for our admonition, upon whom the ends of the ages have come.	46
NKJV	1 Corinthians	10	12	Therefore let him who thinks he stands take heed lest he fall.	46
NKJV	1 Corinthians	10	13	No temptation has overtaken you except such as is common to man; but God is faithful, who will not allow you to be tempted beyond what you are able, but with the temptation will also make the way of escape, that you may be able to bear it.	46
NKJV	1 Corinthians	10	14	Therefore, my beloved, flee from idolatry.	46
NKJV	1 Corinthians	10	15	I speak as to wise men; judge for yourselves what I say.	46
NKJV	1 Corinthians	10	16	The cup of blessing which we bless, is it not the communion of the blood of Christ? The bread which we break, is it not the communion of the body of Christ?	46
NKJV	1 Corinthians	10	17	For we, though many, are one bread and one body; for we all partake of that one bread.	46
NKJV	1 Corinthians	10	18	Observe Israel after the flesh: Are not those who eat of the sacrifices partakers of the altar?	46
NKJV	1 Corinthians	10	19	What am I saying then? That an idol is anything, or what is offered to idols is anything?	46
NKJV	1 Corinthians	10	2	All were baptized into Moses in the cloud and in the sea,	46
NKJV	1 Corinthians	10	20	Rather, that the things which the Gentiles sacrifice they sacrifice to demons and not to God, and I do not want you to have fellowship with demons.	46
NKJV	1 Corinthians	10	21	You cannot drink the cup of the Lord and the cup of demons; you cannot partake of the Lord&rsquo;s table and of the table of demons.	46
NKJV	1 Corinthians	10	22	Or do we provoke the Lord to jealousy? Are we stronger than He?	46
NKJV	1 Corinthians	10	23	All things are lawful for me, but not all things are helpful; all things are lawful for me, but not all things edify.	46
NKJV	1 Corinthians	10	24	Let no one seek his own, but each one the other&rsquo;s well-being.	46
NKJV	1 Corinthians	10	25	Eat whatever is sold in the meat market, asking no questions for conscience&rsquo; sake;	46
NKJV	1 Corinthians	10	26	For &ldquo;the earth is the LORD&rsquo;s, and all its fullness.&rdquo;	46
NKJV	1 Corinthians	10	27	If any of those who do not believe invites you to dinner, and you desire to go, eat whatever is set before you, asking no question for conscience&rsquo; sake.	46
NKJV	1 Corinthians	10	28	But if anyone says to you, &ldquo;This was offered to idols,&rdquo; do not eat it for the sake of the one who told you, and for conscience&rsquo; sake; for &ldquo;the earth is the LORD&rsquo;s, and all its fullness.&rdquo;	46
NKJV	1 Corinthians	10	29	&ldquo;Conscience,&rdquo; I say, not your own, but that of the other. For why is my liberty judged by another man&rsquo;s conscience?	46
NKJV	1 Corinthians	10	3	All ate the same spiritual food,	46
NKJV	1 Corinthians	10	30	But if I partake with thanks, why am I evil spoken of for the food over which I give thanks?	46
NKJV	1 Corinthians	10	31	Therefore, whether you eat or drink, or whatever you do, do all to the glory of God.	46
NKJV	1 Corinthians	10	32	Give no offense, either to the Jews or to the Greeks or to the church of God,	46
NKJV	1 Corinthians	10	33	Just as I also please all men in all things, not seeking my own profit, but the profit of many, that they may be saved.	46
NKJV	1 Corinthians	10	4	And all drank the same spiritual drink. For they drank of that spiritual Rock that followed them, and that Rock was Christ.	46
NKJV	1 Corinthians	10	5	But with most of them God was not well pleased, for their bodies were scattered in the wilderness.	46
NKJV	1 Corinthians	10	6	Now these things became our examples, to the intent that we should not lust after evil things as they also lusted.	46
NKJV	1 Corinthians	10	7	And do not become idolaters as were some of them. As it is written, &ldquo;The people sat down to eat and drink, and rose up to play.&rdquo;	46
NKJV	1 Corinthians	10	8	Nor let us commit sexual immorality, as some of them did, and in one day twenty-three thousand fell;	46
NKJV	1 Corinthians	10	9	Nor let us tempt Christ, as some of them also tempted, and were destroyed by serpents;	46
NKJV	1 Corinthians	11	1	Imitate me, just as I also imitate Christ.	46
NKJV	1 Corinthians	11	10	For this reason the woman ought to have a symbol of authority on her head, because of the angels.	46
NKJV	1 Corinthians	11	11	Nevertheless, neither is man independent of woman, nor woman independent of man, in the Lord.	46
NKJV	1 Corinthians	11	12	For as woman came from man, even so man also comes through woman; but all things are from God.	46
NKJV	1 Corinthians	11	13	Judge among yourselves. Is it proper for a woman to pray to God with her head uncovered?	46
NKJV	1 Corinthians	11	14	Does not even nature itself teach you that if a man has long hair, it is a dishonor to him?	46
NKJV	1 Corinthians	11	15	But if a woman has long hair, it is a glory to her; for her hair is given to her for a covering.	46
NKJV	1 Corinthians	11	16	But if anyone seems to be contentious, we have no such custom, nor do the churches of God.	46
NKJV	1 Corinthians	11	17	Now in giving these instructions I do not praise you, since you come together not for the better but for the worse.	46
NKJV	1 Corinthians	11	18	For first of all, when you come together as a church, I hear that there are divisions among you, and in part I believe it.	46
NKJV	1 Corinthians	11	19	For there must also be factions among you, that those who are approved may be recognized among you.	46
NKJV	1 Corinthians	11	2	Now I praise you, brethren, that you remember me in all things and keep the traditions just as I delivered them to you.	46
NKJV	1 Corinthians	11	20	Therefore when you come together in one place, it is not to eat the Lord&rsquo;s Supper.	46
NKJV	1 Corinthians	11	21	For in eating, each one takes his own supper ahead of others; and one is hungry and another is drunk.	46
NKJV	1 Corinthians	11	22	What! Do you not have houses to eat and drink in? Or do you despise the church of God and shame those who have nothing? What shall I say to you? Shall I praise you in this? I do not praise you.	46
NKJV	1 Corinthians	11	23	For I received from the Lord that which I also delivered to you: that the Lord Jesus on the same night in which He was betrayed took bread;	46
NKJV	1 Corinthians	11	24	And when He had given thanks, He broke it and said, &ldquo;Take, eat; this is My body which is broken for you; do this in remembrance of Me.&rdquo;	46
NKJV	1 Corinthians	11	25	In the same manner He also took the cup after supper, saying, &ldquo;This cup is the new covenant in My blood. This do, as often as you drink it, in remembrance of Me.&rdquo;	46
NKJV	1 Corinthians	11	26	For as often as you eat this bread and drink this cup, you proclaim the Lord&rsquo;s death till He comes.	46
NKJV	1 Corinthians	11	27	Therefore whoever eats this bread or drinks this cup of the Lord in an unworthy manner will be guilty of the body and blood of the Lord.	46
NKJV	1 Corinthians	11	28	But let a man examine himself, and so let him eat of the bread and drink of the cup.	46
NKJV	1 Corinthians	11	29	For he who eats and drinks in an unworthy manner eats and drinks judgment to himself, not discerning the Lord&rsquo;s body.	46
NKJV	1 Corinthians	11	3	But I want you to know that the head of every man is Christ, the head of woman is man, and the head of Christ is God.	46
NKJV	1 Corinthians	11	30	For this reason many are weak and sick among you, and many sleep.	46
NKJV	1 Corinthians	11	31	For if we would judge ourselves, we would not be judged.	46
NKJV	1 Corinthians	11	32	But when we are judged, we are chastened by the Lord, that we may not be condemned with the world.	46
NKJV	1 Corinthians	11	33	Therefore, my brethren, when you come together to eat, wait for one another.	46
NKJV	1 Corinthians	11	34	But if anyone is hungry, let him eat at home, lest you come together for judgment. And the rest I will set in order when I come.	46
NKJV	1 Corinthians	11	4	Every man praying or prophesying, having his head covered, dishonors his head.	46
NKJV	1 Corinthians	11	5	But every woman who prays or prophesies with her head uncovered dishonors her head, for that is one and the same as if her head were shaved.	46
NKJV	1 Corinthians	11	6	For if a woman is not covered, let her also be shorn. But if it is shameful for a woman to be shorn or shaved, let her be covered.	46
NKJV	1 Corinthians	11	7	For a man indeed ought not to cover his head, since he is the image and glory of God; but woman is the glory of man.	46
NKJV	1 Corinthians	11	8	For man is not from woman, but woman from man.	46
NKJV	1 Corinthians	11	9	Nor was man created for the woman, but woman for the man.	46
NKJV	1 Corinthians	12	1	Now concerning spiritual gifts, brethren, I do not want you to be ignorant:	46
NKJV	1 Corinthians	12	10	To another the working of miracles, to another prophecy, to another discerning of spirits, to another different kinds of tongues, to another the interpretation of tongues.	46
NKJV	1 Corinthians	12	11	But one and the same Spirit works all these things, distributing to each one individually as He wills.	46
NKJV	1 Corinthians	12	12	For as the body is one and has many members, but all the members of that one body, being many, are one body, so also is Christ.	46
NKJV	1 Corinthians	12	13	For by one Spirit we were all baptized into one body&mdash;whether Jews or Greeks, whether slaves or free&mdash;and have all been made to drink into one Spirit.	46
NKJV	1 Corinthians	12	14	For in fact the body is not one member but many.	46
NKJV	1 Corinthians	12	15	If the foot should say, &ldquo;Because I am not a hand, I am not of the body,&rdquo; is it therefore not of the body?	46
NKJV	1 Corinthians	12	16	And if the ear should say, &ldquo;Because I am not an eye, I am not of the body,&rdquo; is it therefore not of the body?	46
NKJV	1 Corinthians	12	17	If the whole body were an eye, where would be the hearing? If the whole were hearing, where would be the smelling?	46
NKJV	1 Corinthians	12	18	But now God has set the members, each one of them, in the body just as He pleased.	46
NKJV	1 Corinthians	12	19	And if they were all one member, where would the body be?	46
NKJV	1 Corinthians	12	2	You know that you were Gentiles, carried away to these dumb idols, however you were led.	46
NKJV	1 Corinthians	12	20	But now indeed there are many members, yet one body.	46
NKJV	1 Corinthians	12	21	And the eye cannot say to the hand, &ldquo;I have no need of you&rdquo;; nor again the head to the feet, &ldquo;I have no need of you.&rdquo;	46
NKJV	1 Corinthians	12	22	No, much rather, those members of the body which seem to be weaker are necessary.	46
NKJV	1 Corinthians	12	23	And those members of the body which we think to be less honorable, on these we bestow greater honor; and our unpresentable parts have greater modesty,	46
